gNB_ID,Cell_Id,Signal_Strength,UpLoad_Speed,Download_Speed,Timestamp,Date,Lat,Lon,Cell_Type
82362,21084681,-87,113,500,3859268700,4/16/22 11:05,37.420274,-121.920748,LTE
82362,21084681,-77,114,600,3859270200,4/16/22 11:30,37.421135,-121.921358,LTE
82362,21084681,-87,119,500,3859271400,4/16/22 11:50,37.421978,-121.919063,LTE
82362,21084681,-86,113,459,3859272540,4/16/22 12:09,37.420679,-121.917303,LTE
82362,21084681,-96,120,616,3859272960,4/16/22 12:16,37.417214,-121.915244,LTE
82469,21112076,-84,115,473,3859633020,4/20/22 16:17,37.421317,-121.920847,LTE
82469,21112074,-95,63,435,3859633320,4/20/22 16:22,37.421941,-121.919182,LTE
82362,21084681,-86,111,447,3859633800,4/20/22 16:30,37.421209,-121.91763,LTE
82362,21084681,-70,94,547,3859634100,4/20/22 16:35,37.419193,-121.916447,LTE
82362,21084681,-95,111,476,3859634460,4/20/22 16:41,37.417715,-121.917946,LTE
82362,21084681,-99,109,365,3859634880,4/20/22 16:48,37.41933,-121.918941,LTE
83335,21333761,-74,82,340,3859884660,4/23/22 14:11,37.407629,-121.9198,LTE
83335,21333761,-82,81.1,240,3859885200,4/23/22 14:20,37.408343,-121.917889,LTE
83335,21333761,-96,28,146,3859885620,4/23/22 14:27,37.409144,-121.915869,LTE
83335,21333761,-101,4.5,28,3859885980,4/23/22 14:33,37.409969,-121.913475,LTE
82362,21084674,-104,6.5,25,3859886280,4/23/22 14:38,37.412397,-121.912491,LTE
82362,21084674,-99,83,379,3859887060,4/23/22 14:51,37.415828,-121.914312,LTE
82362,21084674,-99,124,450,3859887480,4/23/22 14:58,37.418858,-121.916179,LTE
82469,21112068,-87,99,457,3859889640,4/23/22 15:34,37.420253,-121.921777,LTE
82469,21112068,-95,60,452,3859890060,4/23/22 15:41,37.419155,-121.921033,LTE
82469,21112068,-91,68,478,3859890600,4/23/22 15:50,37.41357,-121.921779,LTE
82469,21112068,-92,76,454,3859891020,4/23/22 15:57,37.410959,-121.921468,LTE
83335,21333761,-61,83.7,299.7,3860582460,5/1/22 16:01,37.4074,-121.919674,LTE
83335,21333761,-86,33.7,249.5,3860582700,5/1/22 16:05,37.408404,-121.917156,LTE
83335,21333761,-90,51.4,136.9,3860582940,5/1/22 16:09,37.409401,-121.914731,LTE
83335,21333761,-100,13.8,26.2,3860583060,5/1/22 16:11,37.41033,-121.912167,LTE
82362,21084680,-94,66,160.8,3860583180,5/1/22 16:13,37.411154,-121.912006,LTE
82362,21084680,-105,26.9,275.2,3860583420,5/1/22 16:17,37.412156,-121.912385,LTE
82362,21084680,-94,5.3,46.3,3860583540,5/1/22 16:19,37.414796,-121.913941,LTE
82362,21084680,-90,59.4,248.9,3860583600,5/1/22 16:20,37.415823,-121.914269,LTE
82362,21084681,-74,137.1,500,3860583780,5/1/22 16:23,37.417914,-121.915465,LTE
82469,21112074,-79,68,366.1,3860583960,5/1/22 16:26,37.41887,-121.916151,LTE
82469,21112074,-79,70.2,412.8,3860584140,5/1/22 16:29,37.420383,-121.916922,LTE
82469,21112074,-78,110.4,425.2,3860584260,5/1/22 16:31,37.421249,-121.917568,LTE
82469,21112074,-78,96.9,375.1,3860585040,5/1/22 16:44,37.422239,-121.917915,LTE
82469,21112073,-81,92.5,426.7,3860585280,5/1/22 16:48,37.423064,-121.918365,LTE
82469,21112073,-80,104.2,448.9,3860585760,5/1/22 16:56,37.423875,-121.919101,LTE
82469,21112076,-90,72,362.9,3860585880,5/1/22 16:58,37.42206,-121.919538,LTE
82469,21112076,-97,63.4,397,3860586060,5/1/22 17:01,37.421205,-121.921584,LTE
82469,21112076,-99,28.2,8.4,3861694980,5/14/22 13:03,37.416042,-121.91937,LTE
82469,21112076,-91,56,406,3861781680,5/15/22 13:08,37.417197,-121.918054,LTE
82469,21112076,-105,38.5,225.2,3861868380,5/16/22 13:13,37.418236,-121.919736,LTE
82362,21084681,-105,92.5,305,3861955020,5/17/22 13:17,37.416956,-121.919633,LTE
82362,21084681,-88,87.5,447,3862041900,5/18/22 13:25,37.418311,-121.920236,LTE
82362,21084681,-101,81.6,600,3862128540,5/19/22 13:29,37.420243,-121.920877,LTE
82469,21112076,-105,8.2,101.7,3862215780,5/20/22 13:43,37.41985,-121.91951,LTE
82469,21112076,-96,47.5,461.1,3862302420,5/21/22 13:47,37.419539,-121.9209,LTE
82469,21112076,-83,94.7,434.3,3862389060,5/22/22 13:51,37.42189,-121.919377,LTE
82469,21112076,-93,81,478,3862475700,5/23/22 13:55,37.422228,-121.922517,LTE
